id,year,dane_code,ind_1_icbf_children,ind_2_prescholar_children,ind_3_total_children,ind_4_overlaping_services,source_id
225,2015,15185,3,0,3,66.7,117
226,2015,15187,0,0,0,0.0,117
227,2015,15236,1,0,1,0.0,117
228,2015,15189,111,0,111,89.5,117
229,2015,15204,245,0,245,74.5,117
230,2015,15212,1,0,1,0.0,117
231,2015,15215,0,0,0,0.0,117
232,2015,15218,149,0,149,54.0,117
233,2015,15223,285,0,285,64.4,117
234,2015,15224,128,0,128,89.8,117
235,2015,15226,0,0,0,0.0,117
236,2015,15244,107,0,107,90.7,117
237,2015,15248,0,0,0,0.0,117
238,2015,15272,1,0,1,100.0,117
239,2015,15276,2,0,2,100.0,117
240,2015,15293,0,0,0,0.0,117
241,2015,15296,0,0,0,0.0,117
242,2015,15299,103,0,103,77.7,117
243,2015,15317,0,0,0,0.0,117
244,2015,15322,122,0,122,86.1,117
245,2015,15325,2,0,2,0.0,117
246,2015,15332,49,0,49,93.9,117
247,2015,15362,0,0,0,0.0,117
248,2015,15367,122,0,122,71.9,117
249,2015,15368,60,0,60,86.0,117
250,2015,15380,1,0,1,0.0,117
251,2015,15403,149,0,149,50.0,117
252,2015,15401,53,0,53,67.3,117
253,2015,15377,0,0,0,0.0,117
254,2015,15425,26,0,26,91.7,117
255,2015,15442,4,0,4,50.0,117
256,2015,15455,112,0,112,33.3,117
257,2015,15464,0,0,0,0.0,117
258,2015,15466,0,0,0,0.0,117
259,2015,15469,311,0,311,61.4,117
260,2015,15476,215,0,215,79.8,117
261,2015,15480,219,0,219,84.9,117
262,2015,15491,109,0,109,99.1,117
263,2015,15494,124,0,124,85.6,117
264,2015,15500,49,0,49,63.3,117
265,2015,15507,60,0,60,98.3,117
266,2015,15511,0,0,0,0.0,117
267,2015,15514,2,0,2,0.0,117
268,2015,15516,589,0,589,75.3,117
269,2015,15518,2,0,2,0.0,117
270,2015,15522,0,0,0,0.0,117
271,2015,15531,51,0,51,98.0,117
272,2015,15533,65,0,65,93.0,117
273,2015,15537,74,0,74,98.6,117
274,2015,15542,65,0,65,57.5,117
275,2015,15550,1,0,1,0.0,117
276,2015,15572,465,0,465,58.9,117
277,2015,15580,199,0,199,69.5,117
278,2015,15599,93,0,93,96.8,117
279,2015,15600,68,0,68,89.7,117
280,2015,15621,47,0,47,65.0,117
281,2015,15632,338,0,338,74.7,117
282,2015,15638,60,0,60,80.0,117
283,2015,15646,906,0,906,70.8,117
284,2015,15660,0,0,0,0.0,117
285,2015,15664,2,0,2,0.0,117
286,2015,15667,1,0,1,0.0,117
287,2015,15673,35,0,35,42.4,117
288,2015,15676,0,0,0,0.0,117
289,2015,15681,341,0,341,63.4,117
290,2015,15690,1,0,1,0.0,117
291,2015,15693,186,0,186,83.5,117
292,2015,15696,50,0,50,100.0,117
293,2015,15686,138,0,138,66.3,117
294,2015,15720,0,0,0,0.0,117
295,2015,15723,0,0,0,0.0,117
296,2015,15740,265,0,265,68.7,117
297,2015,15753,469,0,469,79.4,117
298,2015,15757,0,0,0,0.0,117
299,2015,15755,1,0,1,0.0,117
300,2015,15761,0,0,0,0.0,117
301,2015,15762,111,0,111,87.6,117
302,2015,15764,3,0,3,0.0,117
303,2015,15763,2,0,2,0.0,117
304,2015,15774,143,0,143,72.7,117
305,2015,15776,1,0,1,0.0,117
306,2015,15778,0,0,0,0.0,117
307,2015,15790,3,0,3,66.7,117
308,2015,15798,1,0,1,0.0,117
309,2015,15804,266,0,266,91.0,117
310,2015,15806,2,0,2,100.0,117
311,2015,15808,0,0,0,0.0,117
312,2015,15810,219,0,219,59.7,117
313,2015,15814,294,0,294,75.7,117
314,2015,15816,194,0,194,72.7,117
315,2015,15820,0,0,0,0.0,117
316,2015,15822,1,0,1,0.0,117
317,2015,15832,2,0,2,0.0,117
318,2015,15835,117,0,117,79.5,117
319,2015,15837,284,0,284,79.7,117
320,2015,15839,0,0,0,0.0,117
321,2015,15842,266,0,266,69.2,117
322,2015,15861,345,0,345,38.7,117
323,2015,15407,486,0,486,63.4,117
324,2015,15879,46,0,46,58.5,117
325,2015,15897,5,0,5,20.0,117
326,2015,68001,782,0,782,56.9,117
327,2015,76109,7189,0,7189,56.9,117
328,2015,76111,1702,0,1702,84.3,117
329,2015,17013,1334,0,1334,55.5,117
330,2015,17042,1731,0,1731,78.3,117
331,2015,17050,570,0,570,63.7,117
332,2015,17088,485,0,485,87.4,117
