id,dane_code,year_of_incident,kidnapping_class,amount,source_id
201,05001,2023,SECUESTRO SIMPLE,1,21
202,50683,2023,SECUESTRO EXTORSIVO,1,21
203,50683,2023,SECUESTRO EXTORSIVO,1,21
204,54498,2023,SECUESTRO SIMPLE,1,21
205,52835,2023,SECUESTRO SIMPLE,1,21
206,52835,2023,SECUESTRO EXTORSIVO,1,21
207,54498,2023,SECUESTRO EXTORSIVO,1,21
208,05001,2023,SECUESTRO EXTORSIVO,1,21
209,76109,2023,SECUESTRO EXTORSIVO,1,21
210,05380,2023,SECUESTRO EXTORSIVO,1,21
211,15238,2023,SECUESTRO SIMPLE,1,21
212,19100,2023,SECUESTRO SIMPLE,1,21
213,52079,2023,SECUESTRO EXTORSIVO,1,21
214,76001,2023,SECUESTRO EXTORSIVO,1,21
215,76109,2023,SECUESTRO EXTORSIVO,1,21
216,41551,2023,SECUESTRO EXTORSIVO,1,21
217,05129,2023,SECUESTRO EXTORSIVO,1,21
218,11001,2023,SECUESTRO EXTORSIVO,1,21
219,15759,2023,SECUESTRO SIMPLE,1,21
220,76109,2023,SECUESTRO EXTORSIVO,1,21
221,20228,2023,SECUESTRO EXTORSIVO,1,21
222,54810,2023,SECUESTRO EXTORSIVO,1,21
223,76001,2023,SECUESTRO SIMPLE,1,21
224,76001,2023,SECUESTRO SIMPLE,1,21
225,11001,2023,SECUESTRO EXTORSIVO,1,21
226,76001,2023,SECUESTRO SIMPLE,1,21
227,05001,2023,SECUESTRO EXTORSIVO,1,21
228,52079,2023,SECUESTRO EXTORSIVO,1,21
229,52079,2023,SECUESTRO EXTORSIVO,1,21
230,05425,2023,SECUESTRO EXTORSIVO,1,21
231,81300,2023,SECUESTRO SIMPLE,1,21
232,85250,2023,SECUESTRO EXTORSIVO,1,21
233,52835,2023,SECUESTRO EXTORSIVO,1,21
234,52233,2023,SECUESTRO SIMPLE,1,21
235,52233,2023,SECUESTRO SIMPLE,1,21
236,05001,2023,SECUESTRO EXTORSIVO,1,21
237,76001,2023,SECUESTRO SIMPLE,1,21
238,81736,2023,SECUESTRO SIMPLE,1,21
239,11001,2023,SECUESTRO SIMPLE,1,21
240,86573,2023,SECUESTRO SIMPLE,1,21
241,73449,2023,SECUESTRO EXTORSIVO,1,21
242,73449,2023,SECUESTRO EXTORSIVO,1,21
243,19142,2023,SECUESTRO SIMPLE,1,21
244,27250,2023,SECUESTRO SIMPLE,1,21
245,47189,2023,SECUESTRO EXTORSIVO,1,21
246,05400,2023,SECUESTRO EXTORSIVO,1,21
247,76001,2023,SECUESTRO EXTORSIVO,1,21
248,81065,2023,SECUESTRO SIMPLE,1,21
249,52079,2023,SECUESTRO EXTORSIVO,1,21
250,54810,2023,SECUESTRO SIMPLE,1,21
251,54810,2023,SECUESTRO SIMPLE,1,21
252,54680,2023,SECUESTRO EXTORSIVO,1,21
253,52835,2023,SECUESTRO EXTORSIVO,1,21
254,19290,2023,SECUESTRO SIMPLE,1,21
255,05321,2023,SECUESTRO EXTORSIVO,1,21
256,86568,2023,SECUESTRO EXTORSIVO,1,21
257,54001,2023,SECUESTRO EXTORSIVO,1,21
258,54001,2023,SECUESTRO EXTORSIVO,1,21
259,81065,2023,SECUESTRO SIMPLE,1,21
260,54498,2023,SECUESTRO EXTORSIVO,1,21
261,54498,2023,SECUESTRO EXTORSIVO,1,21
262,50568,2023,SECUESTRO EXTORSIVO,1,21
263,05001,2023,SECUESTRO SIMPLE,1,21
264,19622,2023,SECUESTRO EXTORSIVO,1,21
265,54003,2023,SECUESTRO SIMPLE,1,21
266,76109,2023,SECUESTRO SIMPLE,1,21
267,05001,2023,SECUESTRO EXTORSIVO,1,21
268,25307,2023,SECUESTRO EXTORSIVO,1,21
269,85440,2023,SECUESTRO SIMPLE,1,21
270,54001,2023,SECUESTRO EXTORSIVO,1,21
271,05001,2023,SECUESTRO EXTORSIVO,1,21
272,66001,2023,SECUESTRO EXTORSIVO,1,21
