id,codigodane,numerodesolicitantes,source_id
192,81220,33,119
193,81220,1,119
194,81591,46,119
195,81736,81,119
196,81736,1,119
197,81794,286,119
198,81794,3,119
199,08078,5,119
200,08078,2,119
201,08001,101,119
202,08001,55,119
203,08137,1,119
204,08141,1,119
205,08296,2,119
206,08296,6,119
207,08372,2,119
208,08372,6,119
209,08421,8,119
210,08421,3,119
211,08433,8,119
212,08433,4,119
213,08436,12,119
214,08520,2,119
215,08549,51,119
216,08549,37,119
217,08549,1,119
218,08558,5,119
219,08558,1,119
220,08560,48,119
221,08560,46,119
222,08573,3,119
223,08573,7,119
224,08606,20,119
225,08606,19,119
226,08634,2,119
227,08634,2,119
228,08638,11,119
229,08638,10,119
230,08685,2,119
231,08770,1,119
232,08770,1,119
233,08832,28,119
234,08832,1,119
235,08849,2,119
236,11001,3,119
237,13006,35,119
238,13030,24,119
239,13042,73,119
240,13052,92,119
241,13052,33,119
242,13062,11,119
243,13062,3,119
244,13074,34,119
245,13074,26,119
246,13140,25,119
247,13140,1,119
248,13188,1,119
249,13222,19,119
250,13222,12,119
251,13212,68,119
252,13244,1,119
253,13248,32,119
254,13248,21,119
255,13248,1,119
256,13268,2,119
257,13268,4,119
258,13300,1,119
259,13430,14,119
260,13430,13,119
261,13433,16,119
262,13442,1,119
263,13468,3,119
264,13458,55,119
265,13458,39,119
266,13473,1,119
267,13549,14,119
268,13549,9,119
269,13580,25,119
270,13580,16,119
271,13600,24,119
272,13620,8,119
273,13620,4,119
274,13647,39,119
275,13647,13,119
276,13650,2,119
277,13655,37,119
278,13655,18,119
279,13655,2,119
280,13657,1,119
281,13667,65,119
282,13667,31,119
283,13670,1,119
284,13673,8,119
285,13673,4,119
286,13683,8,119
287,13683,10,119
288,13683,1,119
289,13688,62,119
290,13744,1,119
291,13760,3,119
292,13760,1,119
293,13780,2,119
294,13780,3,119
295,13810,77,119
296,13810,37,119
297,13836,46,119
298,13873,26,119
299,13873,1,119
300,15022,2,119
301,15047,23,119
302,15051,1,119
303,15087,1,119
304,15090,8,119
305,15097,1,119
306,15106,2,119
307,15106,4,119
308,15109,1,119
309,15131,1,119
310,15131,1,119
311,15135,2,119
312,15135,2,119
313,15176,1,119
314,15176,2,119
315,15180,7,119
316,15180,7,119
317,15183,18,119
318,15185,1,119
319,15236,15,119
320,15236,4,119
321,15218,1,119
322,15223,12,119
323,15226,8,119
324,15244,2,119
325,15244,4,119
326,15248,4,119
327,15248,4,119
328,15276,1,119
329,15293,1,119
330,15293,1,119
331,15299,1,119
332,15317,1,119
333,15322,7,119
334,15322,1,119
335,15325,4,119
336,15332,13,119
337,15332,1,119
338,15367,0,119
339,15368,3,119
340,15368,1,119
341,15401,4,119
342,15401,1,119
343,15377,26,119
344,15425,1,119
345,15425,3,119
346,15442,4,119
347,15455,6,119
348,15455,11,119
349,15464,6,119
350,15464,2,119
351,15469,1,119
352,15480,10,119
353,15480,9,119
354,15507,25,119
355,15507,19,119
356,15514,33,119
357,15516,6,119
358,15516,0,119
359,15518,33,119
360,15518,8,119
361,15522,1,119
362,15531,8,119
363,15533,24,119
364,15542,5,119
365,15542,2,119
366,15550,2,119
367,15572,35,119
368,15580,10,119
369,15580,20,119
370,15599,1,119
371,15646,1,119
372,15660,2,119
373,15667,4,119
374,15673,8,119
375,15681,8,119
