id,indicator,dane_code,value,label,year,source_id
209,GRUPO DE DOTACIONES INICIALES,15135,,G2 NIVEL MEDIO ALTO,2016,125
210,GRUPO DE DOTACIONES INICIALES,15162,,G2 NIVEL MEDIO ALTO,2016,125
211,GRUPO DE DOTACIONES INICIALES,15172,,G2 NIVEL MEDIO ALTO,2016,125
212,GRUPO DE DOTACIONES INICIALES,15176,,G1 NIVEL ALTO,2016,125
213,GRUPO DE DOTACIONES INICIALES,15180,,G4 NIVEL MEDIO BAJO,2016,125
214,GRUPO DE DOTACIONES INICIALES,15183,,G5 NIVEL BAJO,2016,125
215,GRUPO DE DOTACIONES INICIALES,15185,,G3 NIVEL MEDIO,2016,125
216,GRUPO DE DOTACIONES INICIALES,15187,,G3 NIVEL MEDIO,2016,125
217,GRUPO DE DOTACIONES INICIALES,15189,,G3 NIVEL MEDIO,2016,125
218,GRUPO DE DOTACIONES INICIALES,15204,,G3 NIVEL MEDIO,2016,125
219,GRUPO DE DOTACIONES INICIALES,15212,,G4 NIVEL MEDIO BAJO,2016,125
220,GRUPO DE DOTACIONES INICIALES,15215,,G1 NIVEL ALTO,2016,125
221,GRUPO DE DOTACIONES INICIALES,15218,,G4 NIVEL MEDIO BAJO,2016,125
222,GRUPO DE DOTACIONES INICIALES,15223,,G3 NIVEL MEDIO,2016,125
223,GRUPO DE DOTACIONES INICIALES,15224,,G2 NIVEL MEDIO ALTO,2016,125
224,GRUPO DE DOTACIONES INICIALES,15226,,G2 NIVEL MEDIO ALTO,2016,125
225,GRUPO DE DOTACIONES INICIALES,15232,,G4 NIVEL MEDIO BAJO,2016,125
226,GRUPO DE DOTACIONES INICIALES,15236,,G2 NIVEL MEDIO ALTO,2016,125
227,GRUPO DE DOTACIONES INICIALES,15238,,G1 NIVEL ALTO,2016,125
228,GRUPO DE DOTACIONES INICIALES,15244,,G3 NIVEL MEDIO,2016,125
229,GRUPO DE DOTACIONES INICIALES,15248,,G4 NIVEL MEDIO BAJO,2016,125
230,GRUPO DE DOTACIONES INICIALES,15272,,G2 NIVEL MEDIO ALTO,2016,125
231,GRUPO DE DOTACIONES INICIALES,15276,,G4 NIVEL MEDIO BAJO,2016,125
232,GRUPO DE DOTACIONES INICIALES,15293,,G2 NIVEL MEDIO ALTO,2016,125
233,GRUPO DE DOTACIONES INICIALES,15296,,G4 NIVEL MEDIO BAJO,2016,125
234,GRUPO DE DOTACIONES INICIALES,15299,,G2 NIVEL MEDIO ALTO,2016,125
235,GRUPO DE DOTACIONES INICIALES,15317,,G3 NIVEL MEDIO,2016,125
236,GRUPO DE DOTACIONES INICIALES,15322,,G1 NIVEL ALTO,2016,125
237,GRUPO DE DOTACIONES INICIALES,15325,,G3 NIVEL MEDIO,2016,125
238,GRUPO DE DOTACIONES INICIALES,15332,,G5 NIVEL BAJO,2016,125
239,GRUPO DE DOTACIONES INICIALES,15362,,G1 NIVEL ALTO,2016,125
240,GRUPO DE DOTACIONES INICIALES,15367,,G2 NIVEL MEDIO ALTO,2016,125
241,GRUPO DE DOTACIONES INICIALES,15368,,G4 NIVEL MEDIO BAJO,2016,125
