id,dane_code,year,species,total,source_id
446,08560,2019,BUFALOS,663,121
447,08606,2019,CAPRINOS,32,121
448,08606,2019,EQUINOS,495,121
449,08606,2019,OVINOS,73,121
450,08606,2019,BUFALOS,169,121
451,08634,2019,CAPRINOS,272,121
452,08634,2019,EQUINOS,210,121
453,08634,2019,OVINOS,2173,121
454,08634,2019,BUFALOS,95,121
455,08638,2019,CAPRINOS,385,121
456,08638,2019,EQUINOS,1940,121
457,08638,2019,OVINOS,2234,121
458,08638,2019,BUFALOS,368,121
459,08675,2019,CAPRINOS,42,121
460,08675,2019,EQUINOS,180,121
461,08675,2019,OVINOS,42,121
462,08685,2019,CAPRINOS,188,121
463,08685,2019,EQUINOS,220,121
464,08685,2019,OVINOS,430,121
465,08758,2019,CAPRINOS,118,121
466,08758,2019,EQUINOS,140,121
467,08758,2019,OVINOS,360,121
468,08758,2019,BUFALOS,166,121
469,08770,2019,CAPRINOS,30,121
470,08770,2019,EQUINOS,122,121
471,08770,2019,OVINOS,9,121
472,08770,2019,BUFALOS,1,121
473,08832,2019,CAPRINOS,195,121
474,08832,2019,EQUINOS,347,121
475,08832,2019,OVINOS,1456,121
476,08832,2019,BUFALOS,5,121
477,08849,2019,CAPRINOS,35,121
478,08849,2019,EQUINOS,460,121
479,08849,2019,OVINOS,777,121
480,08849,2019,BUFALOS,4,121
481,13001,2019,CAPRINOS,103,121
482,13001,2019,EQUINOS,989,121
483,13001,2019,OVINOS,563,121
484,13001,2019,BUFALOS,490,121
485,13006,2019,CAPRINOS,61,121
486,13006,2019,EQUINOS,2248,121
487,13006,2019,OVINOS,277,121
488,13006,2019,BUFALOS,568,121
489,13030,2019,CAPRINOS,6,121
490,13030,2019,EQUINOS,580,121
491,13030,2019,OVINOS,93,121
492,13030,2019,BUFALOS,313,121
493,13042,2019,CAPRINOS,7,121
494,13042,2019,EQUINOS,624,121
495,13042,2019,OVINOS,45,121
496,13052,2019,CAPRINOS,316,121
497,13052,2019,EQUINOS,2092,121
498,13052,2019,OVINOS,1697,121
499,13052,2019,BUFALOS,1490,121
500,13062,2019,CAPRINOS,37,121
501,13062,2019,EQUINOS,602,121
502,13062,2019,OVINOS,393,121
503,13074,2019,CAPRINOS,60,121
504,13074,2019,EQUINOS,940,121
505,13074,2019,OVINOS,341,121
506,13074,2019,BUFALOS,69,121
507,13140,2019,CAPRINOS,219,121
508,13140,2019,EQUINOS,1450,121
509,13140,2019,OVINOS,919,121
510,13140,2019,BUFALOS,18,121
511,13160,2019,CAPRINOS,8,121
512,13160,2019,EQUINOS,540,121
513,13160,2019,OVINOS,43,121
514,13160,2019,BUFALOS,1593,121
515,13188,2019,CAPRINOS,15,121
516,13188,2019,EQUINOS,614,121
517,13188,2019,OVINOS,109,121
518,13188,2019,BUFALOS,724,121
519,13212,2019,CAPRINOS,1757,121
520,13212,2019,EQUINOS,2211,121
521,13212,2019,OVINOS,2587,121
522,13212,2019,BUFALOS,1792,121
523,13222,2019,CAPRINOS,13,121
524,13222,2019,EQUINOS,638,121
525,13222,2019,OVINOS,288,121
526,13244,2019,CAPRINOS,127,121
527,13244,2019,EQUINOS,2799,121
528,13244,2019,OVINOS,5494,121
529,13244,2019,BUFALOS,1125,121
530,13248,2019,CAPRINOS,167,121
531,13248,2019,EQUINOS,2008,121
532,13248,2019,OVINOS,2405,121
533,13268,2019,EQUINOS,635,121
534,13268,2019,OVINOS,325,121
535,13268,2019,BUFALOS,317,121
536,13300,2019,CAPRINOS,146,121
537,13300,2019,EQUINOS,874,121
538,13300,2019,OVINOS,10,121
539,13430,2019,CAPRINOS,805,121
540,13430,2019,EQUINOS,4782,121
541,13430,2019,OVINOS,4874,121
542,13430,2019,BUFALOS,1438,121
543,13433,2019,CAPRINOS,525,121
544,13433,2019,EQUINOS,2257,121
545,13433,2019,OVINOS,1177,121
546,13433,2019,BUFALOS,285,121
547,13440,2019,CAPRINOS,8,121
548,13440,2019,EQUINOS,993,121
549,13440,2019,OVINOS,620,121
550,13440,2019,BUFALOS,1711,121
551,13442,2019,CAPRINOS,135,121
552,13442,2019,EQUINOS,2187,121
553,13442,2019,OVINOS,1121,121
554,13442,2019,BUFALOS,730,121
555,13458,2019,CAPRINOS,20,121
556,13458,2019,EQUINOS,487,121
557,13458,2019,OVINOS,285,121
558,13458,2019,BUFALOS,190,121
559,13468,2019,CAPRINOS,62,121
560,13468,2019,EQUINOS,2003,121
561,13468,2019,OVINOS,970,121
562,13468,2019,BUFALOS,2057,121
563,13473,2019,CAPRINOS,240,121
564,13473,2019,EQUINOS,2290,121
565,13473,2019,OVINOS,1312,121
566,13473,2019,BUFALOS,432,121
567,13490,2019,CAPRINOS,4,121
568,13490,2019,EQUINOS,405,121
569,13490,2019,OVINOS,150,121
570,13490,2019,BUFALOS,13,121
571,13549,2019,CAPRINOS,94,121
572,13549,2019,EQUINOS,1866,121
573,13549,2019,OVINOS,453,121
574,13549,2019,BUFALOS,836,121
575,13580,2019,CAPRINOS,5,121
576,13580,2019,EQUINOS,555,121
577,13580,2019,OVINOS,73,121
578,13580,2019,BUFALOS,2143,121
579,13600,2019,CAPRINOS,4,121
580,13600,2019,EQUINOS,794,121
581,13600,2019,OVINOS,362,121
582,13600,2019,BUFALOS,1700,121
583,13620,2019,EQUINOS,575,121
584,13620,2019,OVINOS,56,121
585,13647,2019,CAPRINOS,46,121
586,13647,2019,EQUINOS,719,121
587,13647,2019,OVINOS,510,121
588,13647,2019,BUFALOS,30,121
589,13650,2019,CAPRINOS,222,121
590,13650,2019,EQUINOS,730,121
591,13650,2019,OVINOS,367,121
592,13650,2019,BUFALOS,329,121
593,13654,2019,CAPRINOS,194,121
594,13654,2019,EQUINOS,2016,121
595,13654,2019,OVINOS,1063,121
