id,dane_code,area,year_of_incident,amount,source_id
404,52612,0,2012,4,18
405,18205,1,2012,6,18
406,52835,0,2012,5,18
407,05001,1,2012,5,18
408,19698,1,2012,4,18
409,11001,1,2012,4,18
410,47460,0,2012,4,18
411,19212,0,2012,4,18
412,05736,0,2012,4,18
413,76001,1,2012,4,18
414,66045,0,2012,4,18
415,05002,0,2012,4,18
416,05318,0,2012,4,18
417,76622,0,2012,4,18
418,76111,0,2012,4,18
419,05686,0,2012,10,18
420,05001,1,2012,4,18
421,05656,0,2012,4,18
422,05670,0,2012,5,18
423,50001,1,2012,5,18
424,76001,1,2012,4,18
425,05266,1,2012,9,18
426,11001,1,2013,5,18
427,05895,0,2013,4,18
428,76001,1,2013,4,18
429,05250,0,2013,5,18
430,05079,0,2013,4,18
431,05001,1,2013,4,18
432,52835,0,2013,4,18
433,05670,0,2013,4,18
434,76400,1,2013,5,18
435,08421,1,2013,4,18
436,76001,1,2013,4,18
437,68689,0,2013,4,18
438,19780,0,2013,4,18
439,76497,0,2013,4,18
440,50001,1,2013,4,18
441,05854,0,2013,4,18
442,76100,0,2013,6,18
443,05001,1,2013,4,18
444,23678,0,2013,4,18
445,76001,1,2013,8,18
446,15531,1,2013,4,18
447,11001,1,2013,4,18
448,47001,1,2013,4,18
449,05541,0,2014,4,18
450,27001,1,2014,4,18
451,05885,0,2014,4,18
452,47001,1,2014,5,18
453,05001,1,2014,4,18
454,52560,0,2014,4,18
455,85125,0,2014,4,18
456,76001,0,2014,8,18
457,05031,0,2014,7,18
458,18001,0,2015,4,18
459,05604,0,2015,4,18
460,41396,0,2015,4,18
461,41132,1,2015,4,18
462,66318,0,2015,4,18
463,19110,0,2015,4,18
464,05679,0,2015,4,18
465,85230,0,2015,4,18
466,05854,0,2015,5,18
467,13810,0,2015,4,18
468,44001,1,2015,5,18
469,66001,0,2015,4,18
470,11001,1,2015,4,18
471,11001,1,2016,5,18
472,05736,1,2016,4,18
473,54001,1,2016,4,18
474,41016,0,2016,4,18
475,52678,0,2016,4,18
476,05001,1,2016,5,18
477,54874,1,2016,4,18
478,54810,0,2016,4,18
479,50573,1,2016,4,18
480,54001,1,2017,4,18
481,63130,1,2017,4,18
482,11001,1,2017,4,18
483,20250,0,2017,4,18
484,27250,0,2017,4,18
485,19397,0,2017,4,18
486,52835,0,2017,4,18
487,44430,1,2017,5,18
488,52835,0,2017,6,18
489,05154,1,2017,5,18
490,50006,0,2017,5,18
491,52427,0,2017,6,18
492,19780,0,2017,6,18
493,19100,0,2018,6,18
494,54874,1,2018,4,18
495,05887,0,2018,7,18
496,05858,0,2018,5,18
497,17001,0,2018,4,18
498,05790,0,2018,5,18
499,05154,1,2018,4,18
500,18410,0,2018,5,18
501,19050,0,2018,7,18
502,54250,1,2018,10,18
503,76001,1,2018,4,18
504,19418,0,2018,5,18
505,05001,1,2018,4,18
506,76364,0,2019,4,18
507,11001,1,2019,22,18
508,08001,1,2019,5,18
509,08001,1,2019,4,18
510,20011,1,2019,4,18
511,54001,1,2019,5,18
512,19455,1,2019,4,18
513,23001,1,2019,4,18
514,05001,0,2019,4,18
515,05120,0,2019,4,18
516,66045,0,2019,4,18
517,05604,0,2019,4,18
518,17001,0,2019,5,18
519,05736,0,2019,4,18
520,19780,0,2019,6,18
521,05154,0,2019,4,18
522,52835,0,2019,5,18
523,76364,0,2019,4,18
524,19821,0,2019,5,18
525,19212,0,2019,4,18
526,05686,1,2019,5,18
527,05861,0,2019,4,18
528,05790,0,2020,5,18
529,76364,0,2020,5,18
530,05120,0,2020,4,18
531,05001,1,2020,4,18
532,05642,0,2020,4,18
533,52835,0,2020,5,18
534,19450,0,2020,4,18
535,52678,0,2020,4,18
536,05101,0,2020,4,18
537,54810,0,2020,6,18
538,54001,0,2020,4,18
539,25320,0,2020,4,18
540,76001,0,2020,5,18
541,52678,0,2020,8,18
542,81001,0,2020,5,18
543,19256,0,2020,6,18
544,52835,0,2020,6,18
545,52110,0,2020,4,18
546,15001,1,2020,4,18
547,05895,0,2020,7,18
548,13244,1,2020,4,18
549,52473,0,2020,4,18
550,19110,0,2020,6,18
551,76364,0,2020,4,18
552,70708,0,2020,5,18
553,05495,0,2020,5,18
554,19050,0,2020,5,18
555,05091,0,2020,10,18
556,19698,0,2020,4,18
557,05250,0,2020,4,18
558,05154,0,2020,4,18
559,44430,1,2020,4,18
560,63001,1,2020,5,18
561,18001,0,2021,4,18
562,05790,1,2021,4,18
563,76111,0,2021,5,18
564,52540,0,2021,4,18
565,52621,0,2021,5,18
566,05034,0,2021,5,18
567,52835,0,2021,4,18
568,54003,0,2021,5,18
569,76147,1,2021,4,18
570,63190,1,2021,4,18
571,19698,0,2021,4,18
572,05034,0,2021,5,18
573,76606,0,2021,6,18
574,19256,0,2021,4,18
575,76834,0,2021,4,18
576,41020,0,2021,9,18
577,50350,0,2021,5,18
578,50330,0,2021,4,18
579,73030,0,2021,4,18
580,81220,0,2021,4,18
581,05890,0,2021,4,18
582,25754,1,2021,4,18
583,52835,0,2021,8,18
584,52079,0,2021,4,18
585,52835,0,2021,7,18
586,05040,0,2021,4,18
587,05091,0,2021,5,18
588,05667,1,2021,4,18
589,52435,0,2021,4,18
590,86573,0,2021,7,18
591,81300,0,2022,4,18
592,05690,0,2022,4,18
593,81065,1,2022,4,18
594,76243,0,2022,4,18
595,81794,0,2022,4,18
596,76147,1,2022,5,18
597,73168,0,2022,4,18
598,18150,0,2022,4,18
599,52835,0,2022,4,18
600,52079,0,2022,4,18
601,76400,1,2022,5,18
602,19473,0,2022,4,18
603,11001,1,2022,4,18
604,18256,0,2022,5,18
605,54001,1,2022,4,18
606,11001,1,2022,4,18
607,68385,0,2022,8,18
608,08001,1,2022,6,18
609,50577,0,2022,4,18
610,76001,1,2022,5,18
611,76147,0,2022,4,18
612,86571,0,2022,18,18
613,86568,0,2022,4,18
614,91001,1,2022,4,18
615,86320,1,2022,5,18
616,20614,0,2023,4,18
617,08001,1,2023,4,18
618,05134,0,2023,4,18
619,47189,0,2023,4,18
620,54405,1,2023,4,18
621,76147,1,2023,4,18
622,08001,1,2023,5,18
623,52256,0,2023,4,18
