id,dane_code,area,year_of_incident,amount,source_id
377,27001,1,2022,1,25
378,47001,1,2022,1,25
379,54810,1,2022,1,25
380,54003,0,2022,1,25
381,27430,0,2022,1,25
382,27001,1,2022,1,25
383,05736,1,2022,1,25
384,70400,1,2022,1,25
385,05120,0,2022,1,25
386,13212,0,2022,1,25
387,70001,1,2022,1,25
388,54720,1,2022,1,25
389,54810,1,2022,1,25
390,27001,1,2022,1,25
391,54250,1,2022,1,25
392,70265,1,2022,1,25
393,76834,1,2022,1,25
394,05854,1,2022,1,25
395,05172,1,2022,1,25
396,54250,1,2022,1,25
397,20383,0,2022,1,25
398,20383,0,2022,1,25
399,05001,1,2022,1,25
400,27025,0,2022,1,25
401,54250,1,2022,1,25
402,70708,1,2022,1,25
403,54810,1,2022,1,25
404,05895,0,2022,1,25
405,47980,0,2022,1,25
406,05113,0,2022,1,25
407,13300,0,2022,1,25
408,27001,1,2022,1,25
409,05736,0,2022,1,25
410,05250,1,2022,1,25
411,27361,0,2022,1,25
412,23417,0,2022,1,25
413,70678,0,2022,1,25
414,13001,1,2022,1,25
415,13001,1,2022,1,25
416,54250,1,2022,1,25
417,23555,1,2022,1,25
418,47555,1,2022,1,25
419,27001,1,2022,1,25
420,13442,1,2022,1,25
421,13654,1,2022,1,25
422,70001,1,2022,1,25
423,27361,1,2022,1,25
424,70678,1,2022,1,25
425,05138,1,2022,1,25
426,27361,1,2022,1,25
427,19532,1,2022,1,25
428,05842,0,2022,1,25
429,05113,0,2022,1,25
430,54810,1,2022,1,25
431,13442,1,2022,1,25
432,27001,1,2022,1,25
433,05113,0,2022,1,25
434,54800,1,2022,1,25
435,54001,1,2022,1,25
436,13600,0,2022,1,25
437,27001,1,2022,1,25
438,54720,0,2022,1,25
439,54810,1,2022,1,25
440,05790,1,2022,1,25
441,05120,1,2022,1,25
442,05736,0,2022,1,25
443,54810,0,2022,1,25
444,50330,0,2022,1,25
445,54810,1,2022,1,25
446,70508,1,2022,1,25
447,05604,0,2022,1,25
448,54810,1,2022,1,25
449,13430,1,2022,1,25
450,68081,1,2022,1,25
451,05361,0,2022,1,25
452,70823,1,2022,1,25
453,05284,1,2022,1,25
454,54250,0,2022,1,25
455,19780,1,2022,1,25
456,54810,0,2022,1,25
457,05040,0,2022,1,25
458,54001,1,2022,1,25
459,05854,1,2022,1,25
460,76364,1,2022,1,25
461,52612,1,2022,1,25
462,54001,1,2022,1,25
463,05604,0,2022,1,25
464,47053,1,2022,1,25
465,54810,0,2022,1,25
466,86320,1,2022,1,25
467,50350,0,2022,1,25
468,47980,0,2022,1,25
469,05040,1,2022,1,25
470,27787,1,2022,1,25
471,81794,1,2022,1,25
472,54344,0,2022,1,25
473,05001,1,2022,1,25
474,54810,1,2022,1,25
475,54810,1,2022,1,25
476,05107,0,2022,1,25
477,50711,0,2022,1,25
478,05361,1,2022,1,25
479,13458,0,2022,1,25
480,05615,1,2022,2,25
481,05885,0,2022,1,25
482,05113,0,2022,1,25
483,47001,1,2022,1,25
484,54810,0,2022,1,25
485,05361,1,2022,1,25
486,44001,1,2022,1,25
487,05615,1,2022,1,25
488,47980,0,2022,1,25
489,05138,0,2022,1,25
490,05250,0,2022,1,25
491,50370,1,2022,1,25
492,05138,1,2022,1,25
493,05240,0,2022,1,25
494,47460,0,2022,1,25
495,23555,1,2022,1,25
496,27001,1,2022,1,25
497,70742,1,2022,1,25
498,05664,1,2022,1,25
499,05664,1,2022,1,25
500,05761,0,2022,1,25
501,05858,1,2022,1,25
502,20011,0,2022,1,25
503,20060,1,2022,1,25
504,76109,0,2022,1,25
505,54001,1,2022,1,25
506,05234,0,2022,1,25
507,05237,1,2022,1,25
508,05284,0,2022,1,25
509,05306,0,2022,1,25
510,05670,0,2022,1,25
511,70001,1,2022,1,25
512,05790,0,2022,1,25
513,23807,1,2022,1,25
514,05842,0,2022,1,25
515,23855,0,2022,1,25
516,05890,1,2022,1,25
517,20013,0,2022,1,25
518,05030,1,2022,1,25
519,05045,1,2022,1,25
520,05086,0,2022,1,25
521,27099,1,2022,1,25
522,76109,0,2022,1,25
523,05113,0,2022,1,25
524,05113,0,2022,1,25
525,05138,0,2022,2,25
526,05138,0,2022,1,25
527,05138,0,2022,1,25
528,05138,0,2022,1,25
529,05138,1,2022,1,25
530,05147,1,2022,1,25
531,20178,0,2022,1,25
532,05209,0,2022,2,25
533,05209,1,2022,1,25
534,05209,0,2022,1,25
535,54001,1,2022,1,25
536,05234,0,2022,2,25
537,05237,0,2022,1,25
538,05237,1,2022,1,25
539,13244,0,2022,1,25
540,13244,1,2022,1,25
541,20238,0,2022,1,25
542,05264,0,2022,1,25
543,05264,0,2022,1,25
544,18001,0,2022,1,25
545,05282,0,2022,1,25
546,05306,1,2022,1,25
547,70265,1,2022,1,25
548,70265,1,2022,1,25
549,27361,1,2022,1,25
550,05361,0,2022,1,25
551,05361,0,2022,1,25
552,05361,1,2022,1,25
553,13430,1,2022,1,25
554,70429,0,2022,1,25
555,23001,0,2022,1,25
556,23555,0,2022,1,25
557,27001,1,2022,1,25
558,05604,1,2022,1,25
559,13657,0,2022,1,25
560,05664,0,2022,1,25
561,05664,0,2022,1,25
562,05664,0,2022,1,25
563,05664,0,2022,1,25
564,05686,0,2022,1,25
565,05042,0,2022,2,25
566,05042,0,2022,1,25
567,05042,0,2022,1,25
568,05042,0,2022,1,25
569,05042,0,2022,1,25
570,05042,0,2022,1,25
571,05042,1,2022,1,25
572,05042,1,2022,1,25
573,05736,1,2022,1,25
574,05736,1,2022,1,25
575,70001,1,2022,1,25
576,70001,1,2022,1,25
577,70001,1,2022,1,25
578,70001,1,2022,1,25
579,70001,1,2022,1,25
580,05761,0,2022,1,25
581,05761,1,2022,1,25
582,05847,0,2022,1,25
583,05854,1,2022,1,25
584,20001,0,2022,1,25
585,20001,0,2022,1,25
586,05885,1,2022,1,25
587,05895,0,2022,1,25
588,20011,0,2022,1,25
589,05030,0,2022,1,25
590,05045,1,2022,1,25
591,05051,1,2022,1,25
592,13074,0,2022,1,25
593,08001,1,2022,1,25
594,05120,0,2022,1,25
595,05120,0,2022,1,25
596,05120,0,2022,1,25
597,05138,0,2022,1,25
598,05154,0,2022,1,25
599,05154,0,2022,1,25
600,05154,0,2022,1,25
601,05154,0,2022,1,25
